
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000060                       # Number of seconds simulated (Second)
system.cpu.branchPred.indirectMispredicted          124                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           14395                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts               684                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples        67981                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.192892                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.795927                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0           31763     46.72%     46.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1            1959      2.88%     49.61% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2           11111     16.34%     65.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           11221     16.51%     82.46% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4             676      0.99%     83.45% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5             316      0.46%     83.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6             183      0.27%     84.18% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7             167      0.25%     84.43% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8           10585     15.57%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total        67981                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted                79914                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                 149075                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                        3748                       # Number of memory references committed (Count)
system.cpu.commit.loads                          1861                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                      12009                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                       1224                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                      148240                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   174                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          225      0.15%      0.15% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu       144515     96.94%     97.09% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult           10      0.01%     97.10% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           35      0.02%     97.12% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          146      0.10%     97.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     97.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     97.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     97.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     97.22% # Class of committed instruction (Count)
